id,name,personality_1,personality_2,likes
70,口呆花,貪婪,自信,肚子餓的時候會把周圍會動的東西全都吞下去，然後用溶解液致其於死地。
71,大食花,兇猛,耐心,會用花蜜的香氣引誘獵物。據說被牠吞進了嘴裡的東西只要１天就會溶解到連骨頭都不剩。
72,瑪瑙水母,機靈,耐力好,就算在沙灘等地方曬得乾乾的，在很多情況下依然可以存活。泡在水裡就會回復濕潤而復活了。
73,毒刺水母,冷酷,兇猛,會從紅色珠子中發出超音波，使獵物變得虛弱，然後用８０根觸手纏住獵物。
74,小拳石,堅定,強壯,活得久的小拳石身上的稜角會被磨平而變得圓滾滾的，性格也會變得穩重而隨和。
75,隆隆石,耐力好,頑固,因腿腳笨拙而把身體蜷成一團翻滾著移動。滾出勢頭來的話，時速能超過１００公里。
76,隆隆岩,強悍,堅硬,年老之後就不會再脫皮。活過了漫長歲月的隆隆岩外皮會長滿苔蘚而變成綠色。
77,小火馬,輕盈,迅捷,在高高跳起之後，會用四蹄和腿上的肌肉來緩和落地時的衝擊。
78,烈焰馬,勇敢,無畏,奔跑速度最快的烈焰馬會成為首領，決定族群前往的地點和奔跑速度。
79,呆呆獸,懶惰,無憂無慮,傳說當呆呆獸打呵欠時就會開始下雨，所以據說有些地區會祭祀呆呆獸。
80,呆殼獸,聰明,忘性大,呆呆地遠望著大海。大舌貝的毒因為在身體中循環，變得越來越呆呆笨笨的。
81,小磁怪,活潑,好奇,釋放出電磁波，在空中飄浮。如果在牠吞食電力的時候碰牠，全身就會被電得劈哩啪啦的。
82,三合一磁怪,強大,沉默寡言,大約有小磁怪３倍的電力。太陽黑子多的時候，不知為何會大量出現。
83,大蔥鴨,好戰,忠誠,會將翅膀所拿的莖狀植物當成劍一般去劈砍對手。在非常時期會拿它當作食物。
84,嘟嘟,迅捷,勤奮,翅膀短小不擅長飛行，但是擁有發達的雙腳，能以很快的速度奔跑。
85,嘟嘟利,強壯,忠誠,嘟嘟的其中一個頭分裂形成的變種。能以60公里的時速在草原上奔馳。
86,小海獅,無懼,自信,人們一向認為牠只棲息在寒冷的海域，沒人知道牠出現在阿羅拉的原因。
87,白海獅,沉著,愛享受,進食之後會在沙灘上做日光浴，藉此提高體溫來幫助消化。
88,臭泥,腐臭,自給自足,主要的食物是工廠排放的污泥廢液。最近數量減少了。
89,臭臭泥,堅韌,環境適應力強,總之就是臭得讓人不敢用鼻子呼吸。但是也存在著少數覺得這味道很不錯的臭臭泥愛好者。
90,大舌貝,堅硬,保護性強,靈活運用總是伸出的舌頭挖掘海底的沙子，尋找食物。
91,刺甲貝,防禦力高,強悍,擁有極為堅硬的外殼。外殼上的傷痕會逐漸隆起，最後變成巨大的尖刺。
92,鬼斯,詭異,喜歡惡作劇,據說怨念寄宿在墳場產生的瓦斯裡，最後變成了寶可夢。
93,鬼斯通,神秘,好奇,會從陰暗處襲擊人類。如果被其冰冷的舌頭舔到，就會一天天虛弱至死。
94,耿鬼,詭計多端,強大,在世界各地都能聽到孩子如果不乖的話就會被耿鬼找上門的傳說。
95,大岩蛇,強壯,耐力好,彎曲扭動巨大結實的身體，以時速８０公里的猛烈勢頭挖掘前進。
96,催眠貘,神秘,安靜,吞食夢來生存的寶可夢。被認為與食夢夢和夢夢蝕有著共同的祖先。
97,引夢貘人,威嚴,智慧,不論遇到誰都先讓對方睡著，品嘗對方的夢。如果遇到了好夢，就會強行帶走。
98,大鉗蟹,戰鬥性強,防禦性高,能在海邊找到牠。巨大的鉗子即使斷掉也會再長出來。
99,巨鉗蟹,粗暴,堅硬,只有一邊變得巨大的鉗子有著鋼鐵般的硬度和１萬馬力的力量，但實在是太重了。
100,霹靂電球,好動,易怒,據說和精靈球相似的外型是牠的保護色，但令人意外地牠其實很容易就會自爆。
101,頑皮雷彈,衝動,喜歡自爆,只要受到任何一點衝擊，體內的電能就會迅速膨脹然後爆炸。
102,蛋蛋,團結,自我保護,用心靈感應與夥伴交流。聽說同時具備植物與某種屬性的基因。
103,椰蛋樹,多樣性,合作,會用精神力量迎戰敵人。３個頭會分別發出念力，所以威力也會變成３倍。
104,卡拉卡拉,懷舊,悲傷,想起與自己死別的母親而大聲哭泣，被聽到聲音的禿鷹娜從空中襲擊。
105,嘎啦嘎啦,復仇心強,自信,會投擲骨頭擊落禿鷹娜。人們認為牠這麼做是為了幫母親報仇。
106,飛腿郎,靈活,果斷,雙腿能夠自由伸縮，即使離得很遠也能把對手一腳踢飛。
107,快拳郎,強悍,無懼,牠的拳擊就像是鑽頭！在牠的攻擊之下，即使是水泥牆也會被鑽出洞來。
108,大舌頭,好奇,有趣,長達２公尺的舌頭比前腳還要靈活。如果被牠舔到，不知為何會感到麻痺。
109,瓦斯彈,腐敗,喜歡廢棄物,污濁的空氣是牠的美味大餐。據說在昔日的伽勒爾地區曾經存在著更多的瓦斯彈。
110,雙彈瓦斯,毒性強,環境適應力強,雖然吸入空氣的力量稍弱於伽勒爾的雙彈瓦斯，製造出的毒素卻更加強力。
111,獨角犀牛,堅韌,忘性大,頭腦很差但力氣很大，只要撞擊就能把高樓大廈撞得粉粹。
112,鑽角犀獸,防禦力強,耐心,進化後變得只用後腳就能站立。如果被牠的角刺中，就連岩石也會被開出洞來。
113,吉利蛋,慈愛,善良,因為是數量稀少而且逃跑很快的寶可夢，所以能找到牠的人運氣相當不錯。
114,蔓藤怪,靈活,喜歡植物,身體被藍色的藤蔓裹著，沒有人知道牠的真面目。據說藤蔓會持續不斷生長。
115,袋獸,母性,保護性強,把自己的孩子放進腹部的袋子裡保護，會毫不留情地狠狠教訓傷害自己孩子的傢伙。
116,墨海馬,活潑,機靈,棲息在海流平穩的海域。被襲擊時會吐出漆黑的墨汁，然後趁機逃走。
117,海刺龍,毒性強,自我保護,嘴部雖然細，但吸力卻很強。就算是比嘴還要大的食物，也都能瞬間吸進口裡吃掉。
118,角金魚,美麗,靈活,被角的長度和魚鰭的美麗所迷住，因而只培育角金魚的風雅訓練家也是很多的。
119,金魚王,優雅,力量強,天氣變涼的時候，全身就會暈染成鮮紅色。那樣子正如令人感覺到秋意的風景詩。
120,海星星,神秘,好奇,大多在海邊棲息。夜幕降臨時，身體的正中會閃耀出怪異的紅色光芒。
121,寶石海星,珍貴,閃亮,因為身體的造型很抽象，被本地的人謠傳為來自宇宙的侵略者。
122,魔牆人偶,幽默,靈活,實力出神入化的默劇高手。當人們看牠的表演看到入神時，不知不覺間眼前會出現真正的牆壁。
123,飛天螳螂,敏捷,致命,鋒利的２把鐮刀不只是武器，飛天螳螂會靈巧地用鐮刀分解獵物來進食。
124,迷唇姐,節奏感好,輕快,奇異的叫聲聽起來就像是人類的語言。也有些音樂家會創作讓迷唇姐唱的曲子。
125,電擊獸,活力充沛,強壯,全身帶著電流，會不斷轉動手臂來充電然後使出拳擊。
126,鴨嘴火獸,熱情,喜歡火焰,全身都在燃燒，光是呼出的氣息就帶著高溫，打噴嚏時會同時噴出火焰。
127,凱羅斯,好戰,力量強,會用長長的角把對手夾住，就這樣把對方夾成兩半。力量非常強大，但很害怕寒冷。
128,肯泰羅,暴躁,無畏,性格暴躁的寶可夢，但是聽說阿羅拉地區的肯泰羅會比較穩重。
129,鯉魚王,弱小,頑強,在遙遠的過去實力還算強大，但隨著時光的流轉，牠變得越來越弱了。
130,暴鯉龍,兇猛,強大,會不斷吐出破壞光線，把周圍一帶燃燒殆盡，有的地方把牠稱為破壞神。
131,拉普拉斯,和平,善良,因違法捕撈而導致瀕臨絕種。但據說在受到重點保護之後，數量反而開始過度增加了。
132,百變怪,變幻無常,靈活,因其驚人的變身能力，無論與誰都能成為夥伴。但是百變怪同類之間的關係惡劣。
133,伊布,多樣性,適應性強,根據目前的調查，擁有進化為多達８種寶可夢的可能性。
134,水伊布,安靜,適應力強,與水融為一體，隱藏自己的氣息，一動不動地埋伏著等待獵物──魚寶可夢的到來。
135,雷伊布,活潑,力量強,體毛豎立就是要噴出電流的信號。旁邊可能會有落雷，所以要多加注意。
136,火伊布,熱情,充滿火焰,當牠大口吸入空氣時，就是即將發動攻擊的信號，１７００度的火焰即將來襲。
137,多邊獸,神秘,獨特,由於是大約２０年前的科學技術創造出的寶可夢，如今許多部分已經過時了。
138,菊石獸,神秘,獨特,復原自能夠靈活地扭動10隻腳在古代海上漂浮的寶可夢的化石。
139,多刺菊石獸,獨特,神秘,擁有尖銳的牙齒，但似乎因為甲殼太大而不易移動，最後陷入了滅絕。
140,化石盔,獨特,神秘,從化石復活而來的寶可夢。似乎會躲在海底，用背上的眼睛來觀察四周。
141,鐮刀盔,獨特,神秘,能以大約２９節的速度游動。會迅速地接近獵物，然後用鐮刀撕裂對手給予致命一擊。
142,化石翼龍,獨特,神秘,在古代是廣闊天空的王者。因巨大隕石的墜落而滅絕的學說在人們心中根深蒂固。
143,卡比獸,神秘,獨特,每天要吃下４００公斤的食物。一開始吃就會打瞌睡，即使是睡著的狀態也會繼續吃。
144,急凍鳥,神秘,獨特,擁有能自在操縱冰的能力。據說是棲息在永凍之地的雪山中。
145,閃電鳥,獨特,神秘,當天空被陰霾籠罩，落雷不斷時，傳說的寶可夢將會現身。
146,火焰鳥,神秘,獨特,相傳牠會以美麗燃燒的翅膀照亮山路，救助在山中遇險的人。
147,迷你龍,冷靜,保守,由於還很弱小，所以會潛伏在水底悄悄地生活，靠著吃沉入水底的東西為生。
148,哈克龍,冷靜,保守,據說，在水晶般的珠子裡蘊含著操縱天氣的力量。
149,快龍,神秘,獨特,一般都是非常穩重的，但如果觸碰到了牠的逆鱗，牠將毀滅一切才肯罷休。
150,超夢,獨特,神秘,身上的基因與夢幻幾乎一樣，但無論是體型大小還是性格都與夢幻有著巨大的差別。
151,夢幻,獨特,神秘,用顯微鏡觀察就會發現，牠的身上長著又細又短，十分細緻的體毛。
152,菊草葉,獨特,神秘,雖然會揮舞葉子威嚇對手，但因為葉子上會飄散出甜甜的香氣，所以雙方都會變得心平氣和下來。
153,月桂葉,獨特,神秘,脖子周圍圓圓捲起的每片葉子中，都長著１個小樹芽。那香味會讓人充滿活力。
154,大竺葵,獨特,神秘,花的香味能夠平復情緒。戰鬥的時候，牠會散發出香味來削弱對手的戰意。
155,火球鼠,熱情,衝動,會從背上噴出火焰保護自己。雖然生氣時的火焰勢頭猛烈，但疲憊時就會不完全燃燒。
156,火岩鼠,獨特,神秘,擁有一身絕不會被點燃的奇異體毛。當牠背向己方時須特別小心，這是牠將發動攻擊的信號。
157,火爆獸,熱情,衝動,會用灼熱的火焰在周圍製造出熱浪隱藏身影。燃起的爆炸氣浪能燒盡一切。
158,小鋸鱷,神秘,獨特,個子雖小但雙顎力量很強。力量強大到小鋸鱷只是想輕輕咬一下，但卻會讓對方受到重傷的程度。
159,藍鱷,神秘,獨特,一旦咬住就絕不會鬆口。牙齒尖端像魚鉤那樣向後彎曲，一旦刺進去就拔不出來了。
160,大力鱷,獨特,神秘,會張開大嘴威嚇對手。能用強韌的後腳蹬地，以驚人的速度猛撞過來。
161,尾立,獨特,神秘,睡覺的時候會輪流放哨。察覺到危險便會叫醒夥伴。和族群走散後會害怕得睡不著覺。
162,大尾立,神秘,獨特,就算受到敵人的襲擊，也能一溜煙鑽進細小的縫隙裡逃走。手腳雖短卻十分靈活。
163,咕咕,獨特,神秘,每天都會在固定的時間鳴叫。過去的人們非常重視牠，把牠當成報時的神之使者。
164,貓頭夜鷹,獨特,神秘,雙眼有著特殊的構造，只要有些微的光線，即使在黑暗中也能看得像白天一樣清楚。
165,芭瓢蟲,神秘,獨特,天性膽小，總是成群結隊，不然就會感到不安。背上的花紋每隻都有細微的不同。
166,安瓢蟲,獨特,神秘,據說牠背上的花紋與夜空中的星星有關，但詳細情形至今仍然不明。
167,圓絲蛛,神秘,獨特,總是一心一意地等待，直到愛吃的萌虻落入巢中。實在是很有耐心的寶可夢。
168,阿利多斯,神秘,獨特,屁股和嘴裡都會吐出絲。用絲綁住獵物，慢慢地吸食獵物的體液。
169,叉字蝠,獨特,神秘,因為連雙腳也變成翅膀，所以不擅長在地上行動，只能到處爬行。
170,燈籠魚,獨特,神秘,會讓２根觸手微微發光，藉此引誘獵物靠近。是種在夜釣時很好用的寶可夢。
171,電燈怪,神秘,獨特,探頭望向夜晚的海面，如果能看到有如星星閃爍一樣的光，那就是電燈怪哦。
172,皮丘,神秘,獨特,雖然很可愛，但如果一起生活的話，就必須有隨時被電擊電得麻麻的覺悟。
173,皮寶寶,神秘,獨特,會在流星多的夜裡聚集起來，圍成一圈跳舞。如果能看見牠們跳舞的樣子，就會遇上好事。
174,寶寶丁,神秘,獨特,蹦蹦蹦地彈跳著移動。因大量運動而流汗時，會發出微甜的體味。
175,波克比,神秘,獨特,殼內好像塞滿了許多幸福，據說只要溫柔地對待牠，牠就會把幸運分給對方。
176,波克基古,神秘,獨特,據說牠會為了將幸福帶給心地善良的人而現身。
177,天然雀,神秘,獨特,牠的眼神似乎一直在觀察著這裡。但只要稍微靠近，牠就會蹦蹦跳跳地逃開。
178,天然鳥,神秘,獨特,據說這種寶可夢擁有能夠預知未來的能力，但是沒有足以改變未來的力量。
179,咩利羊,神秘,獨特,用咩利羊的毛製成的衣服很容易起靜電，所以會經過特殊加工。
180,茸茸羊,獨特,神秘,一根毛髮也沒有的皮膚跟橡膠一樣不會導電，即使觸碰到也很安全。
181,電龍,獨特,神秘,尾巴發出的耀眼光芒被船員們當成引路的路標，從過去就一直深受重視。
182,美麗花,獨特,神秘,有時美麗花們會聚在一起，做出像是跳舞的動作。據說這是呼喚太陽的儀式。
183,瑪力露,冷靜,保守,很能彈開水的體毛就算是從寒冷的海裡上岸時也能立刻乾掉，一點都不冷。
184,瑪力露麗,冷靜,保守,整天幾乎都是在水中度過。天氣晴朗時會浮在水面上曬太陽。
185,樹才怪,冷靜,保守,為了不被襲擊而模仿成樹木的樣子，但如果被討厭的水潑到，就會慌慌張張地逃走。
186,蚊香蛙皇,獨特,神秘,蚊香蝌蚪和蚊香君的領袖。蚊香蛙皇一聲吼，大家都嚇得伏在地上一動不動。
187,毽子草,獨特,神秘,能隨風輕輕飄浮的寶可夢。如果感到有強風要來的跡象，夥伴之間就會互相綁緊葉子，做好不被強風吹走的準備。
188,毽子花,獨特,神秘,氣溫超過１８度就會開花。開花方式會隨著溫度的不同而變化，所以有時也會用來代替溫度計。
189,毽子棉,神秘,獨特,會乘著溫暖的南風飛越大海，一直飛到外國的寶可夢。遇到冷空氣就會降落到地面上。
190,長尾怪手,神秘,獨特,會從樹上尋找獵物。只要發現自己愛吃的甜竹竹，就會興奮地飛撲過去。
191,向日種子,獨特,神秘,為了將體內儲存的營養保留到進化那一刻，牠幾乎動也不動。平時什麼都不吃，就只會喝朝露。
192,向日花怪,獨特,神秘,會從太陽的能量中製造出營養。在氣溫高的白天會頻繁地活動，太陽下山後會突然變得一動也不動。
193,蜻蜻蜓,神秘,獨特,翅膀看似脆弱，薄到可以透光。然而當牠飛翔之時卻能拂亂大氣，發揮足以吹倒家屋的強勁力道。
194,烏波,冷靜,保守,在冰冷的水中生活。當周遭的天氣變涼時，也會來到陸地上覓食。
195,沼王,神秘,獨特,就算腦袋撞上船底或河裡的岩石，也完全不會去在意，悠然自在地游泳的悠閒寶可夢。
196,太陽伊布,神秘,獨特,據說本來沒有任何能力，是為了要保護自己，預知的能力才因此覺醒。
197,月亮伊布,獨特,神秘,夜行性寶可夢。大大的眼睛即使在一片漆黑中也能看清獵物的樣子。
198,黑暗鴉,神秘,獨特,日落時醒來，於低垂的夜幕中飛行。也有所謂　「黑暗鴉出巢，快點回家吧」　的俗語。
199,呆呆王,神秘,獨特,腦海中不停湧現各種足以改變世界的點子，但牠馬上就會忘了那些點子。
200,夢妖,神秘,獨特,千方百計地驚嚇人類，吸取生命的能量。嚇人的練習從來不曾間斷。
201,未知圖騰,神秘,獨特,奇形怪狀不似生物，且個體之間形狀各異，吾人指出其身姿與異國文字的共通性，但未獲重視。
202,果然翁,神秘,獨特,為了隱藏漆黑的尾巴而悄悄地生活在黑暗之中。不會主動發動攻擊。
203,麒麟奇,神秘,獨特,尾巴上的腦袋裡也有小小的大腦。會對氣味和聲音產生反應發動攻擊，因此從後面靠近的話會被突然咬住。
204,榛果球,獨特,神秘,會用唾液把樹皮貼在自己身上，讓自己變得更厚更大。上了年紀的榛果球是無比巨大的。
205,佛烈托斯,獨特,神秘,只有在吞下獵物的瞬間，殼裡的身體才會出現。至今還沒有人見過牠的真面目。
206,土龍弟弟,獨特,神秘,因為牠擁有小小的翅膀，有些學者主張很久以前牠曾是在天上飛的。
207,天蠍,危險,謹慎,尾部尖端長有恐怖的巨針。會撲上獵物的臉，遮蔽其視線，再以尾針注入毒素取其性命。
208,大鋼蛇,獨特,神秘,人們認為牠的身體是因為堆積了和泥土一起吞下的鐵質，才會發生變化的。
209,布魯,獨特,神秘,臉看起來很嚴厲，但其實相當膽小。那拼命作出威嚇的表情很受女性歡迎。
210,布魯皇,神秘,獨特,發達的下顎和沉重的牙齒是牠的武器。只要不惹牠生氣，就不太會咬人哦。
211,千針魚,冷靜,保守,對手的體型越是巨大，牠就會喝下越多的水使身體膨脹，彷彿馬上就要破裂一般。
212,巨鉗螳螂,神秘,獨特,為了防止戰鬥時變得過熱，而令金屬的身體熔化，會使用翅膀調節體溫。
213,壺壺,神秘,獨特,甲殼裡儲存著樹果。為了避免受到襲擊，會一動不動地躲在岩石下面。
214,赫拉克羅斯,神秘,獨特,以擁有粗壯的角為傲。在阿羅拉，鍬農炮蟲是牠最大的競爭者，雙方經常大打出手。
215,狃拉,獨特,神秘,性格狡猾且兇猛。會趁著雙親不在時侵入巢穴把蛋盜走。
216,熊寶寶,冷靜,保守,不停舔著滲入了蜜糖的手掌。熊寶寶的蜜糖是由水果和大針蜂採集的花粉混合後製成的。
217,圈圈熊,獨特,神秘,在洗翠大地被嚴寒籠罩的季節裡，徘徊於山野之中尋找愛吃的樹果。空腹帶來的焦躁使牠變得極為凶暴。
218,熔岩蟲,獨特,神秘,雖然體內有灼熱的熔岩不斷捲動，但變冷後就會凝固崩裂，身體也會因此變小。
219,熔岩蝸牛,神秘,獨特,殼是由皮膚冷卻後凝固而成的。只要碰一下就會崩裂成碎片。進入熔岩中就會恢復到原來的大小。
220,小山豬,獨特,神秘,一聞到誘人的香味時，就會不顧一切地朝香味傳來的方向飛奔而去。
221,長毛豬,獨特,神秘,雖然４隻腳很短，但因為蹄很寬而且粗糙，所以就算在雪地上行走也不會打滑。
222,太陽珊瑚,獨特,神秘,生活在阿羅拉的太陽珊瑚身上的粉紅色非常鮮豔濃郁，這都是拜富含營養的大海所賜。
223,鐵炮魚,冷靜,保守,從嘴裡噴出的水連１００公尺外的活動獵物都能命中。
224,章魚桶,神秘,獨特,有著愛鑽洞的習性。會搶奪其他寶可夢築的巢穴，在裡面睡覺。
225,信使鳥,獨特,神秘,因為有跟人類及寶可夢分享自己食物的習性，所以一直都在到處尋找食物。
226,巨翅飛魚,神秘,獨特,游動時速度上來後，甚至會從波浪上飛起來，然後就這樣滑翔１００公尺。
227,盔甲鳥,神秘,獨特,鐵的身體十分結實，但很容易生銹，所以下雨天會一直留在巢穴哦。
228,戴魯比,獨特,神秘,擅長與夥伴合作。只要與訓練家成為搭檔，就會徹底服從訓練家的命令。
229,黑魯加,熱情,衝動,會噴出帶有毒素的火焰給予對手致命的一擊。會與群體的成員平分獵物。
230,刺龍王,獨特,神秘,暴風雨來襲時會在海面上現身。如果撞見了快龍，就會展開激烈的爭鬥。
231,小小象,神秘,獨特,在河邊挖掘豎坑生活。會在住處附近蓋上鼻子標記，以此來告訴夥伴這裡是自己的地盤。
232,頓甲,獨特,神秘,最擅長的攻擊是將身體捲成一團，在高速滾動的同時猛撞向對手。一旦開始滾動就很難停下來。
